"mrr_date","gateway","simplified_plan_id","billing_interval","mrr"
2018-05-28,"Stripe","analyze","month",500
2018-05-28,"Stripe","business","year",182087.2315755
2018-05-28,"Stripe","reply","month",24536.66
2018-05-28,"Apple","business","month",8699.11
2018-05-28,"Stripe","awesome","month",354030.64
2018-05-28,"Stripe","awesome","year",266474.6549297
2018-05-28,"Android","awesome","month",7680
2018-05-28,"Manual","reply","year",2850
2018-05-28,"Manual","business","year",2786.3321
2018-05-28,"Apple","awesome","month",42027.96
2018-05-28,"Manual","business","year",15009.8307
2018-05-28,"Manual","reply","year",3570.6664
2018-05-28,"Stripe","reply","year",446.9166666
2018-05-28,"Android","awesome","year",1513
2018-05-28,"Android","business","month",1188
2018-05-28,"Apple","business","year",13999.86
2018-05-28,"Manual","other","year",555.4164
2018-05-28,"Stripe","business","month",549765.05
2018-05-28,"Apple","awesome","year",10565.12
2018-05-27,"Stripe","business","month",550562.02
2018-05-27,"Android","awesome","month",7640
2018-05-27,"Stripe","awesome","month",354369.23
2018-05-27,"Android","awesome","year",1525
2018-05-27,"Apple","business","month",8699.11
2018-05-27,"Apple","awesome","month",42167.82
2018-05-27,"Apple","awesome","year",10573.45
2018-05-27,"Stripe","analyze","month",500
2018-05-27,"Android","business","month",1188
2018-05-27,"Apple","business","year",13999.86
2018-05-27,"Stripe","business","year",182257.8749088
2018-05-27,"Manual","business","year",2786.3321
2018-05-27,"Manual","reply","year",3570.6664
2018-05-27,"Stripe","reply","month",24536.66
2018-05-27,"Manual","reply","year",2850
2018-05-27,"Manual","business","year",15009.8307
2018-05-27,"Stripe","awesome","year",266539.8565963
2018-05-27,"Stripe","reply","year",446.9166666
2018-05-27,"Manual","other","year",555.4164
2018-05-26,"Apple","awesome","year",10573.45
2018-05-26,"Manual","business","year",2786.3321
2018-05-26,"Apple","business","year",13999.86
2018-05-26,"Android","awesome","month",7635
2018-05-26,"Manual","other","year",555.4164
2018-05-26,"Apple","business","month",8699.11
2018-05-26,"Stripe","awesome","month",355098.56
2018-05-26,"Stripe","reply","year",446.9166666
2018-05-26,"Apple","awesome","month",42172.81
2018-05-26,"Manual","reply","year",3570.6664
2018-05-26,"Android","awesome","year",1521.5
2018-05-26,"Stripe","awesome","year",266688.790763
2018-05-26,"Stripe","business","year",182384.5415754
2018-05-26,"Manual","business","year",15009.8307
2018-05-26,"Stripe","reply","month",24629.27
2018-05-26,"Android","business","month",1188
2018-05-26,"Stripe","business","month",551344.3
2018-05-26,"Stripe","analyze","month",500
2018-05-26,"Manual","reply","year",2850
2018-05-25,"Stripe","awesome","year",266624.2549298
2018-05-25,"Stripe","analyze","month",500
2018-05-25,"Stripe","awesome","month",355252.81
2018-05-25,"Android","business","month",1188
2018-05-25,"Android","awesome","year",1521.5
2018-05-25,"Manual","business","year",2786.3321
2018-05-25,"Manual","reply","year",2850
2018-05-25,"Apple","business","year",13999.86
2018-05-25,"Manual","other","year",513.3331
2018-05-25,"Apple","business","month",8699.11
2018-05-25,"Apple","awesome","month",42267.72
2018-05-25,"Apple","awesome","year",10581.78
2018-05-25,"Manual","reply","year",3570.6664
2018-05-25,"Stripe","business","year",182968.4707418
2018-05-25,"Stripe","business","month",551373.17
2018-05-25,"Stripe","reply","month",24337.73
2018-05-25,"Stripe","reply","year",446.9166666
2018-05-25,"Manual","business","year",15051.914
2018-05-25,"Android","awesome","month",7620
2018-05-24,"Android","awesome","month",7595
2018-05-24,"Android","awesome","year",1509.5
2018-05-24,"Stripe","awesome","month",355267.77
2018-05-24,"Stripe","business","month",550406.7
2018-05-24,"Stripe","analyze","month",500
2018-05-24,"Manual","reply","year",3570.6664
2018-05-24,"Manual","business","year",2786.3321
2018-05-24,"Apple","awesome","year",10581.78
2018-05-24,"Manual","business","year",15051.914
2018-05-24,"Apple","awesome","month",42312.67
2018-05-24,"Stripe","business","year",182788.0965751
2018-05-24,"Stripe","reply","year",446.9166666
2018-05-24,"Stripe","reply","month",24426.78
2018-05-24,"Stripe","awesome","year",266496.7549297
2018-05-24,"Android","business","month",1188
2018-05-24,"Apple","business","year",13999.86
2018-05-24,"Apple","business","month",8599.12
2018-05-24,"Manual","reply","year",2850
2018-05-24,"Manual","other","year",513.3331
2018-05-23,"Stripe","reply","year",446.9166666
2018-05-23,"Stripe","reply","month",24100.55
2018-05-23,"Stripe","awesome","month",355485.24
2018-05-23,"Apple","awesome","month",42242.74
2018-05-23,"Stripe","awesome","year",266372.2807632
2018-05-23,"Manual","business","year",2786.3321
2018-05-23,"Android","awesome","year",1497.5
2018-05-23,"Android","business","month",1188
2018-05-23,"Stripe","analyze","month",350
2018-05-23,"Stripe","business","year",182483.7674087
2018-05-23,"Manual","business","year",15051.914
2018-05-23,"Manual","reply","year",2850
2018-05-23,"Apple","business","year",13999.86
2018-05-23,"Manual","reply","year",3570.6664
2018-05-23,"Manual","other","year",513.3331
2018-05-23,"Android","awesome","month",7560
2018-05-23,"Stripe","business","month",550236.55
2018-05-23,"Apple","awesome","year",10581.78
2018-05-23,"Apple","business","month",8599.12
2018-05-22,"Apple","business","month",8599.12
2018-05-22,"Manual","other","year",513.3331
2018-05-22,"Android","awesome","year",1497.5
2018-05-22,"Stripe","business","month",549573.6
2018-05-22,"Manual","reply","year",3570.6664
2018-05-22,"Stripe","reply","month",23699.55
2018-05-22,"Manual","business","year",2786.3321
2018-05-22,"Apple","awesome","month",42262.72
2018-05-22,"Android","business","month",1188
2018-05-22,"Stripe","analyze","month",350
2018-05-22,"Stripe","reply","year",446.9166666
2018-05-22,"Apple","awesome","year",10598.44
2018-05-22,"Manual","reply","year",2850
2018-05-22,"Stripe","awesome","year",266362.6857633
2018-05-22,"Stripe","business","year",182236.8799089
2018-05-22,"Apple","business","year",13999.86
2018-05-22,"Stripe","awesome","month",355529.54
2018-05-22,"Android","awesome","month",7605
2018-05-22,"Manual","business","year",15051.914
2018-05-21,"Apple","business","year",13999.86
2018-05-21,"Stripe","business","year",182139.729909
2018-05-21,"Manual","other","year",513.3331
2018-05-21,"Android","awesome","month",7610
2018-05-21,"Android","awesome","year",1497.5
2018-05-21,"Manual","business","year",2786.3321
2018-05-21,"Manual","reply","year",3570.6664
2018-05-21,"Stripe","awesome","month",355442.67
2018-05-21,"Apple","awesome","month",42252.73
2018-05-21,"Stripe","reply","month",23649.55
2018-05-21,"Android","business","month",1188
2018-05-21,"Manual","business","year",15051.914
2018-05-21,"Stripe","reply","year",446.9166666
2018-05-21,"Apple","awesome","year",10606.77
2018-05-21,"Stripe","business","month",549222.22
2018-05-21,"Stripe","awesome","year",266218.8265967
2018-05-21,"Stripe","analyze","month",350
2018-05-21,"Apple","business","month",8699.11
2018-05-21,"Manual","reply","year",2850
2018-05-20,"Apple","business","month",8699.11
2018-05-20,"Stripe","reply","year",446.9166666
2018-05-20,"Android","business","month",1089
2018-05-20,"Manual","business","year",15051.914
2018-05-20,"Stripe","reply","month",23444.11
2018-05-20,"Stripe","business","month",549561.59
2018-05-20,"Stripe","awesome","year",266277.2199301
2018-05-20,"Stripe","analyze","month",350
2018-05-20,"Manual","other","year",513.3331
2018-05-20,"Apple","awesome","month",42262.72
2018-05-20,"Stripe","business","year",182490.8490756
2018-05-20,"Manual","business","year",2786.3321
2018-05-20,"Apple","business","year",13999.86
2018-05-20,"Manual","reply","year",3570.6664
2018-05-20,"Apple","awesome","year",10590.11
2018-05-20,"Stripe","awesome","month",355813.86
2018-05-20,"Android","awesome","month",7580
2018-05-20,"Manual","reply","year",2850
2018-05-20,"Android","awesome","year",1506
2018-05-19,"Stripe","business","year",182666.9465755
2018-05-19,"Stripe","awesome","month",356171.11
2018-05-19,"Manual","reply","year",2850
2018-05-19,"Manual","reply","year",3570.6664
2018-05-19,"Apple","awesome","month",42332.65
2018-05-19,"Stripe","business","month",550169.27
2018-05-19,"Apple","business","year",13999.86
2018-05-19,"Manual","business","year",2786.3321
2018-05-19,"Stripe","reply","month",23487.68
2018-05-19,"Android","business","month",1089
2018-05-19,"Android","awesome","month",7545
2018-05-19,"Apple","business","month",8699.11
2018-05-19,"Stripe","analyze","month",350
2018-05-19,"Manual","business","year",15051.914
2018-05-19,"Manual","other","year",513.3331
2018-05-19,"Apple","awesome","year",10565.12
2018-05-19,"Stripe","awesome","year",266316.6265966
2018-05-19,"Android","awesome","year",1506
2018-05-19,"Stripe","reply","year",446.9166666
